"filename", "language", "JSON", "CSS", "Markdown", "JavaScript", "HTML", "JavaScript JSX", "SVG", "comment", "blank", "total"
"c:\Users\monke\Desktop\CS\dndhelper\README.md", "Markdown", 0, 0, 29, 0, 0, 0, 0, 0, 2, 31
"c:\Users\monke\Desktop\CS\dndhelper\package-lock.json", "JSON", 31593, 0, 0, 0, 0, 0, 0, 0, 1, 31594
"c:\Users\monke\Desktop\CS\dndhelper\package.json", "JSON", 46, 0, 0, 0, 0, 0, 0, 0, 1, 47
"c:\Users\monke\Desktop\CS\dndhelper\public\index.html", "HTML", 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"c:\Users\monke\Desktop\CS\dndhelper\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\monke\Desktop\CS\dndhelper\src\App.css", "CSS", 0, 80, 0, 0, 0, 0, 0, 0, 9, 89
"c:\Users\monke\Desktop\CS\dndhelper\src\App.js", "JavaScript", 0, 0, 0, 138, 0, 0, 0, 4, 13, 155
"c:\Users\monke\Desktop\CS\dndhelper\src\assets\images\abjuration.svg", "SVG", 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\monke\Desktop\CS\dndhelper\src\assets\images\conjuration.svg", "SVG", 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\monke\Desktop\CS\dndhelper\src\assets\images\divination.svg", "SVG", 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\monke\Desktop\CS\dndhelper\src\assets\images\enchantment.svg", "SVG", 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\monke\Desktop\CS\dndhelper\src\assets\images\evocation.svg", "SVG", 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\monke\Desktop\CS\dndhelper\src\assets\images\floppy-disk-regular.svg", "SVG", 0, 0, 0, 0, 0, 0, 5, 1, 0, 6
